Date,Price,Open,High,Low,Vol.,Change %
24-Apr-19,65.89,66.17,66.43,65.66,678.39K,-0.62%
25-Apr-19,65.21,65.81,66.28,64.9,603.00K,-1.03%
26-Apr-19,63.3,65.13,65.18,62.28,1.00M,-2.93%
29-Apr-19,63.5,62.95,63.69,62.46,654.08K,0.32%
30-Apr-19,63.91,63.58,64.75,63.3,750.49K,0.65%
1-May-19,63.6,63.4,63.93,62.77,676.87K,-0.49%
2-May-19,61.81,63.61,63.68,60.95,914.66K,-2.81%
3-May-19,61.94,61.55,62.52,61.3,646.87K,0.21%
6-May-19,62.25,61.43,62.95,60.04,768.81K,0.50%
7-May-19,61.4,62.17,62.49,60.66,842.81K,-1.37%
8-May-19,62.12,61.44,62.37,61.07,791.77K,1.17%
9-May-19,61.7,62.02,62.21,60.92,769.58K,-0.68%
10-May-19,61.66,61.64,62.49,61.42,786.49K,-0.06%
13-May-19,61.04,61.65,63.33,60.64,1.00M,-1.01%
14-May-19,61.78,60.86,62.11,60.69,751.67K,1.21%
15-May-19,62.02,61.37,62.34,60.85,723.00K,0.39%
16-May-19,62.87,62.12,63.48,62.08,545.68K,1.37%
17-May-19,62.76,63.12,63.64,62.52,215.80K,-0.17%
20-May-19,63.1,62.93,63.81,62.45,131.89K,0.54%
21-May-19,62.99,63.22,63.6,62.75,28.91K,-0.17%
22-May-19,61.42,62.95,63,61.03,766.73K,-2.49%
23-May-19,57.91,61.31,61.41,57.33,1.11M,-5.71%
24-May-19,58.63,58.21,59.1,57.5,758.10K,1.24%
26-May-19,58.77,58.94,59,58.67,-,0.24%
27-May-19,59.16,58.77,59.26,58.14,-,0.66%
28-May-19,59.14,58.94,59.57,58.13,1.02M,-0.03%
29-May-19,58.81,59.07,59.14,56.88,1.12M,-0.56%
30-May-19,56.59,59.12,59.7,56.33,842.28K,-3.77%
31-May-19,53.5,56.46,56.61,53.05,1.03M,-5.46%
3-Jun-19,53.25,53.42,54.63,52.11,984.31K,-0.47%
4-Jun-19,53.48,52.89,53.78,52.43,831.63K,0.43%
5-Jun-19,51.68,52.86,53.41,50.6,943.19K,-3.37%
6-Jun-19,52.59,51.66,53.3,51.17,790.07K,1.76%
7-Jun-19,53.99,53.1,54.32,52.62,828.13K,2.66%
10-Jun-19,53.26,54.24,54.84,53.05,687.15K,-1.35%
11-Jun-19,53.27,53.43,54.04,52.91,642.94K,0.02%
12-Jun-19,51.14,53.04,53.05,50.72,786.11K,-4.00%
13-Jun-19,52.28,51.07,53.45,50.92,945.02K,2.23%
14-Jun-19,52.51,52.18,52.98,51.7,574.23K,0.44%
17-Jun-19,51.93,52.5,52.74,51.58,397.87K,-1.10%
18-Jun-19,53.9,51.95,54.31,51.5,181.64K,3.79%
19-Jun-19,53.76,54.09,54.42,53.28,122.84K,-0.26%
20-Jun-19,56.65,54.12,57.02,54.11,27.88K,5.38%
21-Jun-19,57.43,57.26,57.98,56.66,676.05K,1.38%
24-Jun-19,57.9,57.72,58.22,56.75,597.16K,0.82%
25-Jun-19,57.83,57.74,58.84,57.2,673.14K,-0.12%
26-Jun-19,59.38,58.84,59.93,58.65,686.82K,2.68%
27-Jun-19,59.43,59.27,59.73,58.61,531.41K,0.08%
28-Jun-19,58.47,59.22,59.8,57.75,556.10K,-1.62%
1-Jul-19,59.09,59.27,60.28,58.34,674.89K,1.06%
2-Jul-19,56.25,59.14,59.43,56.09,878.94K,-4.81%
3-Jul-19,57.34,56.49,57.48,56.04,600.13K,1.94%
4-Jul-19,56.8,57.41,57.57,56.48,-,-0.94%
5-Jul-19,57.51,57.38,57.82,56.29,698.02K,1.25%
8-Jul-19,57.66,57.77,58.46,57.3,540.86K,0.26%
9-Jul-19,57.83,57.56,59.1,57.29,551.87K,0.29%
10-Jul-19,60.43,58.4,60.53,58.35,690.66K,4.50%
11-Jul-19,60.2,60.44,60.94,60.14,573.02K,-0.38%
12-Jul-19,60.21,60.46,60.74,59.93,469.03K,0.02%
15-Jul-19,59.58,60.25,60.92,59.2,566.82K,-1.05%
16-Jul-19,57.62,59.26,60.06,57.07,712.54K,-3.29%
17-Jul-19,56.78,57.52,58.36,56.21,504.43K,-1.46%
18-Jul-19,55.3,56.6,57.32,54.72,215.36K,-2.61%
19-Jul-19,55.63,55.72,56.36,54.99,105.22K,0.60%
22-Jul-19,56.22,56.22,56.84,55.72,24.30K,1.06%
23-Jul-19,56.77,56.17,57.47,55.74,521.88K,0.98%
24-Jul-19,55.88,57.23,57.64,55.33,745.25K,-1.57%
25-Jul-19,56.02,55.9,56.99,55.81,559.28K,0.25%
26-Jul-19,56.2,55.93,56.57,55.68,476.79K,0.32%
29-Jul-19,56.87,56.2,57.1,55.81,529.74K,1.19%
30-Jul-19,58.05,57.07,58.47,56.96,547.40K,2.07%
31-Jul-19,58.58,58.34,58.82,57.81,614.00K,0.91%
1-Aug-19,53.95,57.85,57.99,53.59,886.75K,-7.90%
2-Aug-19,55.66,54.54,56.05,54.15,739.81K,3.17%
5-Aug-19,54.69,55.38,55.61,54.22,823.84K,-1.74%
6-Aug-19,53.63,54.95,55.42,53.29,682.79K,-1.94%
7-Aug-19,51.09,53.42,53.77,50.52,1.06M,-4.74%
8-Aug-19,52.54,52.33,53.06,51.94,724.76K,2.84%
9-Aug-19,54.5,52.88,54.92,52.37,726.39K,3.73%
12-Aug-19,54.93,54.32,55.18,53.54,611.03K,0.79%
13-Aug-19,57.1,54.73,57.47,54.21,783.49K,3.95%
14-Aug-19,55.23,56.74,56.85,53.97,718.29K,-3.27%
15-Aug-19,54.47,54.9,55.33,53.77,527.87K,-1.38%
16-Aug-19,54.87,54.74,55.67,54.26,168.35K,0.73%
19-Aug-19,56.21,54.96,56.41,54.84,113.57K,2.44%
20-Aug-19,56.34,56.1,56.6,55.28,47.45K,0.23%
21-Aug-19,55.68,56.05,57.13,55.55,704.04K,-1.17%
22-Aug-19,55.35,55.94,56.46,54.85,621.57K,-0.59%
23-Aug-19,54.17,55.35,55.6,53.24,807.15K,-2.13%
26-Aug-19,53.64,53.25,55.26,52.96,679.02K,-0.98%
27-Aug-19,54.93,53.76,55.72,53.69,596.62K,2.40%
28-Aug-19,55.78,55.71,56.75,55.34,674.05K,1.55%
29-Aug-19,56.71,55.88,56.89,55.43,630.76K,1.67%
30-Aug-19,55.1,56.63,56.72,54.55,708.27K,-2.84%
1-Sep-19,54.8,55,55,54.56,-,-0.54%
2-Sep-19,54.66,54.81,55.22,54.36,-,-0.26%
3-Sep-19,53.94,55,55.24,52.84,970.80K,-1.32%
4-Sep-19,56.26,53.92,56.58,53.84,682.30K,4.30%
5-Sep-19,56.3,55.95,57.76,55.75,712.47K,0.07%
6-Sep-19,56.52,56.19,56.95,54.83,714.29K,0.39%
9-Sep-19,57.85,56.8,58.16,56.58,646.99K,2.35%
10-Sep-19,57.4,58.03,58.76,57.2,755.47K,-0.78%
11-Sep-19,55.75,57.89,58.3,55.61,858.77K,-2.87%
12-Sep-19,55.09,55.93,56.34,54,845.98K,-1.18%
13-Sep-19,54.85,55.15,55.68,54.44,599.47K,-0.44%
16-Sep-19,62.9,61.48,63.38,58.77,1.40M,14.68%
17-Sep-19,59.34,61.96,62.59,58.46,993.24K,-5.66%
18-Sep-19,58.11,58.81,59.43,57.67,216.96K,-2.07%
19-Sep-19,58.13,58.2,59.54,58.01,112.33K,0.03%
20-Sep-19,58.09,58.65,59.1,57.79,37.98K,-0.07%
23-Sep-19,58.64,59.25,59.39,57.37,526.79K,0.95%
24-Sep-19,57.29,58.44,58.49,56.69,591.53K,-2.30%
25-Sep-19,56.49,56.7,57.02,55.55,563.55K,-1.40%
26-Sep-19,56.41,56.69,56.84,55.41,599.65K,-0.14%
27-Sep-19,55.91,56.51,56.76,54.75,712.97K,-0.89%
30-Sep-19,54.07,56.54,56.57,53.98,532.52K,-3.29%
1-Oct-19,53.62,54.28,54.84,53.05,589.18K,-0.83%
2-Oct-19,52.64,54,54.42,52.17,590.31K,-1.83%
3-Oct-19,52.45,52.47,52.91,50.99,642.47K,-0.36%
4-Oct-19,52.81,52.29,53.35,52.04,541.10K,0.69%
7-Oct-19,52.75,52.69,54.06,52.59,549.02K,-0.11%
